id,texto,categoría,tipo1,tipo2,tipo3,tipo4,tipo5
d_1,Todo me sale mal… ,distorsión,Sobregeneralización,,,,
d_2,Nunca cumple con su palabra… es que siempre hace igual,distorsión,Sobregeneralización,,,,
d_3,Todo lo hago igual,distorsión,Sobregeneralización,,,,
d_4,Todo el mundo tiene la misma actitud.,distorsión,Sobregeneralización,,,,
d_5,Nadie me quiere.,distorsión,Sobregeneralización,,,,
d_6,nunca me salen bien las cosas,distorsión,Sobregeneralización,,,,
d_7,siempre me encuentro igual de mal,distorsión,Sobregeneralización,,,,
d_8,todo lo que hago está mal,distorsión,Sobregeneralización,,,,
d_9,siento constantemente que a nadie le importo,distorsión,Sobregeneralización,,,,
d_10,nadie me echa cuenta,distorsión,Sobregeneralización,,,,
d_11,nadie me valora,distorsión,Sobregeneralización,,,,
d_12,siempre tengo problemas,distorsión,Sobregeneralización,,,,
d_13,jamás tendré fuerzas para conseguir lo que quiero,distorsión,Sobregeneralización,Adivinación,Catastrofismo,,
d_14,constantemente estoy haciendo las cosas mal,distorsión,Sobregeneralización,,,,
d_15,nunca podré hacer mi tarea,distorsión,Sobregeneralización,Adivinación,,,
d_16,casi nunca estoy bien,distorsión,Sobregeneralización,,,,
d_17,nadie me tiene en cuenta,distorsión,Sobregeneralización,,,,
d_18,todo lo hago mal,distorsión,Sobregeneralización,,,,
d_19,siempre me ignora,distorsión,Sobregeneralización,,,,
d_20,mi pareja siempre hace lo mismo,distorsión,Sobregeneralización,,,,
a_1,A veces las cosas no salen como yo esperaba y esto me cuesta de asumir,alternativo,,,,,
a_2,Mi hermano algunas veces no cumple con su palabra,alternativo,,,,,
a_3,Algunas veces hago las cosas de la misma forma,alternativo,,,,,
a_4,Hay personas con una actitud que me desagrada,alternativo,,,,,
a_5,Algunas personas no me queiren,alternativo,,,,,
a_6,Tengo la sensacion de que pocas veces me salen las cosas como espero,alternativo,,,,,
a_7,"Muchos días me encuentro mal, aunque algunos me encuentro bien",alternativo,,,,,
a_8,Puedo equivocarme pero esto no siginfica que lo haga todo mal,alternativo,,,,,
a_9,Algunas personas no estan tant pendientes de mi como me gustaria,alternativo,,,,,
a_10,A veces hay personas que no me quieren tanto como yo querria,alternativo,,,,,
a_11,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",alternativo,,,,,
a_12,"A menudo tengo probelmas, todos tenemos problemas a veces",alternativo,,,,,
a_13,"Me cuesta sacar fuerzas para conseguir lo que quiero, pero tengo claro que necesito hacerlo. ",alternativo,,,,,
a_14,"Algunas veces me equivoco, esto no quier decir que lo haga todo mal",alternativo,,,,,
a_15,"Me cuesta hacer mi tarea, tendré que centrarme en ella",alternativo,,,,,
a_16,A veces no estoy bien,alternativo,,,,,
a_17,"Me cuesta sentirme querida, esto no siginifca que nadie me quiera",alternativo,,,,,
a_18,A veces me equivoco pero esto no significa que siempre me salgan las cosas mal,alternativo,,,,,
a_19,Mi hermano a veces me ignora,alternativo,,,,,
a_20,Mi pareja a veces hace cosas que no me gustan,alternativo,,,,,
t_1,siempre me he sentido respaldado por mis amigos,tricky,,,,,
t_2,no comparto nada de lo que dices,tricky,,,,,
t_3,todos los años pasa algo,tricky,,,,,
t_4,todo lo relacionado con la política me disgusta,tricky,,,,,
t_5,Siempre me han gustado las matemáticas ,tricky,,,,,
t_6,Nunca he ido a italia,tricky,,,,,
t_7,Me gusta comer de todo,tricky,,,,,
t_8,Siempre me levanto temprano,tricky,,,,,
t_9,Todo lo que me dijo tenía sentido,tricky,,,,,
t_10,Siempre estoy de buen humor,tricky,,,,,
t_11,Me gustan todos los tipos de música,tricky,,,,,
t_12,Nunca tomo el sol sin protección ,tricky,,,,,
t_13,Siempre me ha gustado bailar,tricky,,,,,
t_14,Cada día como pan,tricky,,,,,
t_15,No me gusta nada la col,tricky,,,,,
t_16,nunca me he sentido solo cuando he necesitado ayuda,tricky,,,,,
t_17,Nada con mucho estilo,tricky,,,,,
t_18,Siempre pasan cosas,tricky,,,,,
t_19,Todos podemos sentirnos mal,tricky,,,,,
t_20,Las cosas nunca salen iguales,tricky,,,,,
d_21,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",distorsión,Leer la mente,,,,
d_22,"Sé que mi padre, en el fondo, piensa que soy un inútil.",distorsión,Leer la mente,,,,
d_23,El ascensorista piensa que soy un don nadie.,distorsión,Leer la mente,,,,
d_24,Yo no le gusto a ella.,distorsión,Leer la mente,,,,
d_25,"Siempre está sonriendo, pero sé que no me quiere.",distorsión,Leer la mente,,,,
d_26,la gente del trabajo me odia,distorsión,Leer la mente,,,,
d_27,estoy convencido de que no me quieren tanto como yo a ellos,distorsión,Leer la mente,,,,
d_28,"siempre me dice que me quiere, pero sé que no es verdad",distorsión,Leer la mente,Sobregeneralización,,,
d_29,"nunca me ha dicho nada malo, pero sé que me odia",distorsión,Leer la mente,Sobregeneralización,,,
d_30,Seguro que piensan que no me implico lo suficiente ,distorsión,Leer la mente,,,,
d_31,Estoy seguro que mis amigos creen que deberia estar más atenta a sus necesidades y que ultimamente paso de ellos,distorsión,Leer la mente,Imperativos,,,
d_32,"siempre está sonriendo, pero sé que me odia",distorsión,Leer la mente,,,,
d_33,"aunque me dice que me quiere, estoy convencida de que miente",distorsión,Leer la mente,,,,
d_34,"aunque me ayuda, sé que no me quiere",distorsión,Leer la mente,,,,
d_35,estoy seguro de que no le caigo bien aunque me diga que sí,distorsión,Leer la mente,,,,
d_36,"nunca me ha dicho nada, pero sé que piensa mal de mí",distorsión,Leer la mente,,,,
d_37,sé que me odian,distorsión,Leer la mente,,,,
d_38,estoy convencido de que no me quieren tanto como yo a ellos,distorsión,Leer la mente,,,,
d_39,"siempre me dice que me quiere, pero sé que no es verdad",distorsión,Leer la mente,,,,
d_40,"nunca me ha dicho nada malo, pero sé que me odia",distorsión,Leer la mente,,,,
a_21,No puedo saber lo que piensa si no le pregunto. Serà mejor que hablemos directamente,alternativo,,,,,
a_22,"Creo que mi padre piensa que soy inutil, pero realmente no tengo hechos que me lo indiquen",alternativo,,,,,
a_23,No puedo saber lo que piensa el ascensorista de mi si no le pregunto,alternativo,,,,,
a_24,No puedo saber si le gusto o no si no le pregunto,alternativo,,,,,
a_25,Creo que no me quiere ,alternativo,,,,,
a_26,"Pienso que la gente me odia, pero realmente no sé si es verdad",alternativo,,,,,
a_27,Tengo la sensación que yo quiero más a la gente de lo que me quieren,alternativo,,,,,
a_28,Si mi pareja me dice que me quiere lo más probable es que sea verdad,alternativo,,,,,
a_29,Me trata bien aunque a veces me hace pensar que me odia,alternativo,,,,,
a_30,"Tengo la sensación que me estoy implicando menos que antes, pero no puedo saber lo que piensan de mi si no les pregunto",alternativo,,,,,
a_31,"Me parece que a mis amigos les gustaria que les dedicara más tiempo, hablaré con ellos y les explicaré lo que me pasa.",alternativo,,,,,
a_32,Creo que me odia,alternativo,,,,,
a_33,"Si me dice que me quiere lo más seguro es que sea verdad, no tiene porque mentirme",alternativo,,,,,
a_34,Como me ayuda supongo que soy una persona importante para ella,alternativo,,,,,
a_35,"Si me dice que si, lo más probable es que le caiga bien",alternativo,,,,,
a_36,No puedo sacar conclusiones con la información que tengo ya que nunca me lo han dicho,alternativo,,,,,
a_37,a veces pienso que me odian,alternativo,,,,,
a_38,Quiero mucho a mis amigos y a veces pienso que ellos a mi no tanto,alternativo,,,,,
a_39,"No puedo saber lo que piensa, pero puedo fijarme en los hechos para saber si me quiere",alternativo,,,,,
a_40,No tengo nada que justifique mi pensameinto de que me odia si nunca me ha dicho nada malo,alternativo,,,,,
t_21,estoy seguro de mis capacidades,tricky,,,,,
t_22,"estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.",tricky,,,,,
t_23,ándate con cuidado con los papeles del seguro del coche.,tricky,,,,,
t_24,no hay nada seguro en esta vida,tricky,,,,,
t_25,estoy segura que mañana lloverá,tricky,,,,,
t_26,Se que mi hermana es muy amable y que tiene muchos amigos ,tricky,,,,,
t_27,Estoy convencido de que todo saldrá bien ,tricky,,,,,
t_28,Se que la leche me sienta mal,tricky,,,,,
t_29,Estoy convencido de la decisión que acabo de tomar.,tricky,,,,,
t_30,Estoy seguro en este lugar al que he ido a vivir. ,tricky,,,,,
t_31,Solo sé que no sé nada.,tricky,,,,,
t_32,Sé hacer muy bien mi trabajo. ,tricky,,,,,
t_33,Estoy seguro de mi mismo,tricky,,,,,
t_34,Piensa mal y acertarás ,tricky,,,,,
t_35,Se piensa mejor cuando se duerme bien ,tricky,,,,,
t_36,Mi hermana no piensa; actúa impulsivamente.,tricky,,,,,
t_37,Estoy plenamente convencido de la inversión que voy a hacer.,tricky,,,,,
t_38,"Sé que si no ceno, por la noche tendré hambre.",tricky,,,,,
t_39,Estoy seguro de mis habilidades artísticas,tricky,,,,,
t_40,Estoy convencido de que mañana ganaremos el partido,tricky,,,,,
d_41,Tengo que estudiar como sea,distorsión,Imperativos,,,,
d_42,deberían de ser más amables conmigo,distorsión,Imperativos,,,,
d_43,debería limpiar más mi casa porque siempre está muy sucia,distorsión,Imperativos,,,,
d_44,debería planificar las vacaciones y buscar con quién dejar a los niños mientras yo no estoy,distorsión,Imperativos,,,,
d_45,debería zanjar todos los temas de trabajo urgentemente,distorsión,Imperativos,,,,
d_46,Tengo que ser más responsable y planifica mejor las semanas,distorsión,Imperativos,,,,
d_47,Debo sacar como sea adelante el curso.,distorsión,Imperativos,,,,
d_48,Deberían ser más amables conmigo,distorsión,Imperativos,,,,
d_49,Tengo que estudiar mínimo 2 horas al día como sea ,distorsión,Imperativos,,,,
d_50,tengo que hacer muchas cosas pero nunca tengo tiempo,distorsión,Imperativos,,,,
d_51,debería volver a considerar otras opciones,distorsión,Imperativos,,,,
d_52,tengo que comer menos,distorsión,Imperativos,,,,
d_53,he engordado ultimamente y tengo que adelgazar,distorsión,Imperativos,,,,
d_54,tengo que esforzarme más,distorsión,Imperativos,,,,
d_55,mi pareja tendría que ser más cariñoso conmigo,distorsión,Imperativos,,,,
d_56,tengo que ser el mejor si no me despedirán,distorsión,Imperativos,,,,
d_57,tengo que trabajar más,distorsión,Imperativos,,,,
d_58,mi familia tiene que ser más amable conmigo,distorsión,Imperativos,,,,
d_59,"Debería hacer las cosas con más antelación, luego me pongo nervioso",distorsión,Imperativos,,,,
d_60,Debo hablar mejor a la gente o me voy a quedar solo,distorsión,Imperativos,Adivinación,,,
a_41,Me iria bien ponerme a estudiar ahora,alternativo,,,,,
a_42,me gustaria que la gente fuese más amable conmigo,alternativo,,,,,
a_43,La casa esta sucia podria dedicar una tarde a limpiarla,alternativo,,,,,
a_44,Se acercan las vacaciones es mejor que me ponga ya a organizarlas por si salen imprevistos,alternativo,,,,,
a_45,"Si acabo los temas abiertos de trabajo antes de vacaciones, estaré más tranquilo ",alternativo,,,,,
a_46,Me iria bien hacer una planificación de las proximas semanas,alternativo,,,,,
a_47,"Es importante para mi sacar este curso, me voy a centrar en ello",alternativo,,,,,
a_48,Me gustaria que la gente fuese más amable conmigo,alternativo,,,,,
a_49,Si estudio ahora iré más preparado al examen,alternativo,,,,,
a_50,Me iria bien organizarme el tiempo para poder hacer lo que necesito,alternativo,,,,,
a_51,Puedo considerar otras opciones,alternativo,,,,,
a_52,Estaria bien intentar controlar más la cantidad que como,alternativo,,,,,
a_53,Podria fijarme más en lo que como e intentar adelgazar,alternativo,,,,,
a_54,Puedo esforzarme más si quiero conseguir mejores resultados,alternativo,,,,,
a_55,Puedo pedirle a mi pareja que sea más cariñosa conmigo,alternativo,,,,,
a_56,Si me implico en trabajo no tengo porque tener ningun problema,alternativo,,,,,
a_57,En el trabajo esta bien que haga lo que esté en mi mano para que las cosas se terminen a tiempo,alternativo,,,,,
a_58,Puedo decir a mi familia que me gustaria que fuesen más amables conmigo,alternativo,,,,,
a_59,Si me organizo el teimpo no me pondré tant nervioso y todo saldrá bien,alternativo,,,,,
a_60,Me iria bien trabajar mi asertividad para mejorar mis relaciones con las personas,alternativo,,,,,
t_41,debería comprar el pan para la cena,tricky,,,,,
t_42,tengo que ir un momento al baño,tricky,,,,,
t_43,debo irme ya,tricky,,,,,
t_44,a veces tengo que ir correindo para llegar a tiempo,tricky,,,,,
t_45,tengo que mirar como llegar a casa desde aquí,tricky,,,,,
t_46,Tengo que comprar algo para comer,tricky,,,,,
t_47,Deberia avisar de que me voy,tricky,,,,,
t_48,Tengo muchos animales en casa,tricky,,,,,
t_49,debo coger el tren para ir a ver a mi tia,tricky,,,,,
t_50,debo ir al supermercado porque tengo la nevera vacía,tricky,,,,,
t_51,tengo poca ropa,tricky,,,,,
t_52,"Mi padre tiene que jubilarse, ya tiene 65 años",tricky,,,,,
t_53,"Tengo que ir a ver a mi madre hoy, es su cumpleaños",tricky,,,,,
t_54,"Hoy no puedo venir a tomar algo, tengo que terminar un trabajo para mañana",tricky,,,,,
t_55,Tengo que estudiar para el examen,tricky,,,,,
t_56,Debo irme ya para llegar a tiempo a recoger a mi hijo a la escuela,tricky,,,,,
t_57,"Debo ir a comprar, no queda comida en casa",tricky,,,,,
t_58,"Tengo que ir al médico, me encuentro mal",tricky,,,,,
t_59,Tengo que hacer la comida,tricky,,,,,
t_60,Debo darle de comer a mis perros,tricky,,,,,
d_61,soy imbecil,distorsión,Etiquetado,,,,
d_62,no soy guapo,distorsión,Etiquetado,,,,
d_63,Mi tío es estúpido,distorsión,Etiquetado,,,,
d_64,soy completamente imbécil,distorsión,Etiquetado,,,,
d_65,no soy inteligente,distorsión,Etiquetado,,,,
d_66,mi tio es insoportable,distorsión,Etiquetado,,,,
d_67,no soy inteligente,distorsión,Etiquetado,,,,
d_68,la verdad es que no paro de pensar en que soy idiota,distorsión,Etiquetado,,,,
d_69,"soy un desastre, siempre me equivoco",distorsión,Etiquetado,Sobregeneralización,,,
d_70,soy lo peor,distorsión,Etiquetado,,,,
d_71,mi amiga es idiota,distorsión,Etiquetado,,,,
d_72,soy completamente idiota,distorsión,Etiquetado,,,,
d_73,soy asqueroso,distorsión,Etiquetado,,,,
d_74,es que soy imbecil no tengo remedio,distorsión,Etiquetado,,,,
d_75,"he tenido problemas con mi antiguo jefe, es una mala persona",distorsión,Etiquetado,,,,
d_76,he discutido con mi pareja es completamente estúpido,distorsión,Etiquetado,,,,
d_77,no soy nada inteligente,distorsión,Etiquetado,,,,
d_78,es rematadamente tonto,distorsión,Etiquetado,,,,
d_79,"Las personas son hipócritas, confías en ellas y te mienten",distorsión,Etiquetado,,,,
d_80,"Soy muy gafe, estropeo todo lo que toco.",distorsión,Etiquetado,,,,
a_61,Actualmente cuando me miro al espejo no me veo bien,alternativo,,,,,
a_62,"Me molesta como se comportan algunas personas a veces, pero no todos podemos estar siempre de acuerdo",alternativo,,,,,
a_63,"He fallado en el encargo que tenia del trabajo y ahora me siento mal, la proxima vez intentaré hacerlo mejor",alternativo,,,,,
a_64,En ocasiones me equivoco y las cosas me salen mal,alternativo,,,,,
a_65,Mi tio no me cae demasiado bien,alternativo,,,,,
a_66,"Muchas veces nos fijamos solo en los errores, seguro que puedes buscar momentos en los que te hayas sentido inteligente",alternativo,,,,,
a_67,"cuando las cosas no salen como espero es dificil pensar bien de mi, pero en realidad muchas veces acierto",alternativo,,,,,
a_68,"Aunque me haya equivocado, esto no significa que sea un desastre. Todos nos equivocamos a veces.",alternativo,,,,,
a_69,Puedo hacer cosas mal pero eso no me define como persona,alternativo,,,,,
a_70,"Mi amiga me ha dicho ciertas cosas que no comparto y esto me ha hecho enfadar, a veces no nos ponemos de auerdo",alternativo,,,,,
a_71,"A veces me equivoco, pero muchas otras hago las cosas bien",alternativo,,,,,
a_72,"Le he hablado mal a mi madre, he dicho cosas que no queria y ahora me siento mal conmigo mismo ",alternativo,,,,,
a_73,"Me he vuelto a equivocar, igual podria intentar estar más atento",alternativo,,,,,
a_74,Mi jefe y yo tenemos formas diferentes de ver las cosas y no nos entendemos,alternativo,,,,,
a_75,No me gusta como responde mi pareja cuando discutimos,alternativo,,,,,
a_76,"Puede que hoy me haya equivocado, pero otras veces suelo tener una respuesta inteligente",alternativo,,,,,
a_77,"Se ha vuelto a equivocar, le puedo dar otra oportunidad",alternativo,,,,,
a_78,"Les expliqué mi problema y esperaba otra cosa de ellos, me han fallado esta vez.",alternativo,,,,,
a_79,"He intentado arreglar mi ordenador y en lugar de esto lo he estropeado más, mejor lo llevaré a reparar.",alternativo,,,,,
a_80,Esta vez mi amiga no ha tenido en cuenta lo que yo necesitaba,alternativo,,,,,
t_61,"¡perfecto, vamos a ello!",tricky,,,,,
t_62,los cálculos que nos han proporcionado son catastróficos,tricky,,,,,
t_63,ese tío es asquerosamente rico,tricky,,,,,
t_64,quedarse sin cenar es lo peor,tricky,,,,,
t_65,¡qué guapa que eres!,tricky,,,,,
t_66,Es completamente estúpido pensar que puedes ir a la luna andando,tricky,,,,,
t_67,en el deporte soy un poco torpe,tricky,,,,,
t_68,mi amiga a veces se pone pesada,tricky,,,,,
t_69,soy pésimo en el ajedrez,tricky,,,,,
t_70,"mis compañeros son malos en fútbol, no le salen bien ningun pase",tricky,,,,,
t_71,mi tio se pone insoportable cuando habla de política,tricky,,,,,
t_72,"este vestido es horrible, nunca me lo compraria",tricky,,,,,
t_73,la música del bar es inaguantable mejor buscamos un sitio más tranquilo,tricky,,,,,
t_74,Esta decisión no es del todo inteligente,tricky,,,,,
t_75,"Soy la pequeña de mi familia, tengo dos hermanos mayores",tricky,,,,,
t_76,"Mi amigo es de Brasil, aunque hace dos años que vive en Barcelona y dice que le gusta mucho",tricky,,,,,
t_77,Cuando me comparo con la gente de mi classe veo que soy bastante alto,tricky,,,,,
t_78,"Este sitio es muy oscuro, me gustaria más si pusieran un poco de luz",tricky,,,,,
t_79,El ruido que hacen las obras es insoportable,tricky,,,,,
t_80,Me siento inutil leyendo cosas que no entiendo,tricky,,,,,
d_81,O me ayuda o no quiero saber nada de esa persona.,distorsión,Pensamiento absolutista,,,,
d_82,"O está impecable, o está sucio",distorsión,Pensamiento absolutista,,,,
d_83,"O soy perfecto, o soy un desastre",distorsión,Pensamiento absolutista,,,,
d_84,"Si no estás conmigo, estás contra mí",distorsión,Pensamiento absolutista,,,,
d_85,o está perfecto o no lo quiero,distorsión,Pensamiento absolutista,,,,
d_86,No aguanto más la situación con mi pareja. O elige a su familia o me elige a mí,distorsión,Pensamiento absolutista,,,,
d_87,si no soy el mejor en mi trabajo entonces me despedirán,distorsión,Pensamiento absolutista,,,,
d_88,me encuentro muy cansada si no termino la investigación se acabó,distorsión,Pensamiento absolutista,,,,
d_89,Estoy muy agobiado estos días. O apruebo las oposiciones o no sé qué haré,distorsión,Pensamiento absolutista,,,,
d_90,Si no hago ejercicio engordaré,distorsión,Pensamiento absolutista,,,,
d_91,si no dejo de comer seguiré estando gordo,distorsión,Pensamiento absolutista,,,,
d_92,o apruebo el examen o no tendré futuro,distorsión,Pensamiento absolutista,,,,
d_93,si no soy el mejor en mi trabajo entonces me despedirán,distorsión,Pensamiento absolutista,,,,
d_94,O está todo bien organizado o no voy a ir al viaje,distorsión,Pensamiento absolutista,,,,
d_95,siempre estamos igual o encontramos la forma de entendernos o yo me voy de casa,distorsión,Pensamiento absolutista,Sobregeneralización,,,
d_96,siento que si no lo hago perfecto no es suficiente,distorsión,Pensamiento absolutista,,,,
d_97,o está perfecto o no lo quiero,distorsión,Pensamiento absolutista,,,,
d_98,si no estoy siempre bien me agobio mucho,distorsión,Pensamiento absolutista,,,,
d_99,sino quedo el primero en la carrera habré perdido,distorsión,Pensamiento absolutista,,,,
d_100,si no estoy delgado no soy feliz,distorsión,Pensamiento absolutista,,,,
a_81,"No siempre me podrá ayudar, algunas veces tendrá cosas que hacer que también serán importantes ",alternativo,,,,,
a_82,"Es importante que las cosas esten limpias, aunque no siempre estaran impolutas y esto también esta bien",alternativo,,,,,
a_83,"A veces me equivoco, como todos, pero esto no me define como persona",alternativo,,,,,
a_84,"Puede que no siempre estemos de acuerdo con el resto de gente, cada uno tenemos nuestras ideeas y creencia, pero esto no nos situa en posiciones opuestas, podemos entendernos ",alternativo,,,,,
a_85,Las cosas estan bien aunque no sean perfectas,alternativo,,,,,
a_86,"El problema con la familia de mi pareja me agobia, seria mejor que lo hablasemos y así podriamos encontrar un equilibrio entre nosotros y la familia",alternativo,,,,,
a_87,"Lo importante es hacer bien mi trabajo y cumplir con los objetivos, si es así no habrá ningun problema",alternativo,,,,,
a_88,Necesito un descanso para poder seguir rindiendo y que las cosas salgan como espero,alternativo,,,,,
a_89,"Para mi es importante aprovar las oposiciones, pero si no salen podria valorar otras alternativas ",alternativo,,,,,
a_90,Puedo controlar otros factores para no subir de peso,alternativo,,,,,
a_91,"Todos necesitamos comer, puedo estar más atento al tipo de comida que como",alternativo,,,,,
a_92,"Este examen es importante, aunque el futuro es mucho más",alternativo,,,,,
a_93,"Es importante que nos impliquemos en el trabajo y seamos resonsables, si cumplo con lo acordado todo estará bien",alternativo,,,,,
a_94,Puedo controlar lo que como para así no subir más de peso,alternativo,,,,,
a_95,Hay otras formas que nos ayudan a no engordar si no siempre podemos hacer ejercicio,alternativo,,,,,
a_96,Es importante implicarnos en lo que hacemos aunque a veces no sale perfeto y también está bien ,alternativo,,,,,
a_97,Las cosas que hacemos con empeño y dedicación estan bien aunque no las veamos perfectas,alternativo,,,,,
a_98,"Es normal que a veces no nos sintamos bien, forma parte de la evolución de la vida",alternativo,,,,,
a_99,"Todos a veces ganamos y otras perdemos, pero lo importante es intentar las cosas que queremos hacer",alternativo,,,,,
a_100,Me sentiria mejor conmigo mismo si estubiera más delgado,alternativo,,,,,
t_81,o vienes o te vas,tricky,,,,,
t_82,"si no vienes, te lo vas a perder",tricky,,,,,
t_83,"a veces tengo el dilema de,  o me quedo en casa o salgo",tricky,,,,,
t_84,o comemos arroz o pasta,tricky,,,,,
t_85,"si no tenemos arroz, cocinaremos pasta",tricky,,,,,
t_86,si no encuntro un regalo le haré un vale.,tricky,,,,,
t_87,o voy hoy a ver a mis padres o voy mañana,tricky,,,,,
t_88,o consigo acabar esto ahora o no podré entregarlo,tricky,,,,,
t_89,si no me dicen nada les escribiré yo,tricky,,,,,
t_90,o me lo apunto en la agenda o me olvidaré,tricky,,,,,
t_91,Si no hubiera ido a ver esa peli no me lo hubiera pasado tan bien,tricky,,,,,
t_92,Si no le hago la comida a mi pareja no conseguirá su meta de estar más delgada porque no se sabe cocinar,tricky,,,,,
t_93,O llego a mi trabajo a las 8 que es la hora perfecta o más tarde no consigo aparcar el coche,tricky,,,,,
t_94,Si no  le permito a mi hijo que se enfade no aprenderá que es una emoción como cualquier otra,tricky,,,,,
t_95,O descanso o luego no rindo en el gimnasio ni puedo hacer los movimientos perfectos,tricky,,,,,
t_96,Si me siento feliz cuando quiero ir a la montaña trataré de ir más a menudo,tricky,,,,,
t_97,O encuentro una pareja de baile o las clases que he hecho no servirán para bailar sola,tricky,,,,,
t_98,Si alguien del grupo no sabe jugar  o le enseñamos o es facil que pierda ,tricky,,,,,
t_99,O me esfuerzo mucho en conseguir lo que quiero o me resutará bastante difícil ,tricky,,,,,
t_100,Si soy feliz por cómo estoy aprendiendo a bailar me volveré una volveré bailarina profesional,tricky,,,,,
d_101,estoy convencida de que me sentiré mal.,distorsión,Adivinación,,,,
d_102,estoy segura de que no les va a gustar.,distorsión,Adivinación,,,,
d_103,Me va a ir mal en este examen.,distorsión,Adivinación,,,,
d_104,"Estoy segura de que, aunque salga con amigos, me sentiré mal.",distorsión,Adivinación,,,,
d_105,"sé que no voy a aprobar el examen, aunque haya estudiado mucho",distorsión,Adivinación,,,,
d_106,"aunque ahora mismo estoy bien, estoy convencida de que va a pasar algo malo",distorsión,Adivinación,,,,
d_107,estoy segura de que me voy a equivocar por mucho que me prepare,distorsión,Adivinación,,,,
d_108,No iré a la fiesta porque seguro que hago el ridículo,distorsión,Adivinación,,,,
d_109,El examen de mañana seguro que me va a ir mal,distorsión,Adivinación,,,,
d_110,"Mañana es el primer día de trabajo, seguro que me equivoco",distorsión,Adivinación,,,,
d_111,Estoy convencida de que todo irá mal,distorsión,Adivinación,Sobregeneralización,,,
d_112,Seguro que no apruebo la evaluación,distorsión,Adivinación,,,,
d_113,no superaré la entrevista,distorsión,Adivinación,,,,
d_114,Seguro que hará mal tiempo en vacaciones,distorsión,Adivinación,,,,
d_115,Me quedaré en blanco en el examen,distorsión,Adivinación,,,,
d_116,Seguro que no le gusto,distorsión,Adivinación,,,,
d_117,me va a ir mal con mi pareja,distorsión,Adivinación,,,,
d_118,"prefiero no hacerlo, seguro que me sale mal",distorsión,Adivinación,,,,
d_119,si voy a la fiesta voy a ser el hazmerreir ,distorsión,Adivinación,,,,
d_120,"me gustaría quedar con él, pero estoy convencido de que no querrá",distorsión,Adivinación,,,,
a_101,"Otras veces has ido y te has sentido bien, esta vez puede ser igual",alternativo,,,,,
a_102,No podemos saber si les va a gustar antes de enseñarlo,alternativo,,,,,
a_103,"Te has preparado bien, no hay motivos para pensar que saldrá mal",alternativo,,,,,
a_104,"Al salir con amigos puedo sentirme mal, pero es una buena forma de intentar estar mejor",alternativo,,,,,
a_105,Si vas bien preparado no hay motivo para suspender,alternativo,,,,,
a_106,"Estar bien no predice que vaya a pasar algo malo, es mejor disfrutar de estar bien",alternativo,,,,,
a_107,"Antes de enseñarlo es dificil saber que va a pensar otra gente, es mejor enseñarlo",alternativo,,,,,
a_108,"No puedes saber que pasará en la fiesta antes de ir, puedes provar a ir y ver como va",alternativo,,,,,
a_109,"Si te has preparado bien para el examen no tiene porque ir mal, no podemos saber que passará antes de hacerlo",alternativo,,,,,
a_110,"No podemos saber si será así, de todas formas es normal no hacerlo todo bien el primer dia de trabajo",alternativo,,,,,
a_111,"A veces algunas cosas salen mal, pero esto no significa que sieempre todo vaya mal",alternativo,,,,,
