,text,pre_annotation,xavi,miriam,mireia,agreement
d_191,"Mi paciente  ha empeorado desde hace unas semanas, debe ser mi culpa, no le ha funcionado el tratamiento.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_99,sino quedo el primero en la carrera habré perdido,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_62,"Me molesta como se comportan algunas personas a veces, pero no todos podemos estar siempre de acuerdo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_21,"Simplemente lo sé, estoy convencida. Piensa que soy lo peor.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_144,"La máquina de lavar se ha parado. Siempre sucede lo mismo. No lo soporto más, ya me ha fastidiado el resto del día.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_164,"Me siento incompetente ahora mismo, esto no implica que lo sea",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_118,no voy a gustarle a todo el mundo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_125,La reunion no ha salido como esperaba,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_56,Si me implico en trabajo no tengo porque tener ningun problema,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
t_112,me sentiré extraño al actuar distinto y eso puede ser bueno,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_133,Lo que me ha pasado es duro,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_95,siempre estamos igual o encontramos la forma de entendernos o yo me voy de casa,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_53,he engordado ultimamente y tengo que adelgazar,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_177,Si me enfado es porque me ha hecho algo malo,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_141,Soy un ser humano maravilloso porque siempre escucho a los demás,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_126,En fiestas con gente desconocida lo paso muy mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_38,"Sé que si no ceno, por la noche tendré hambre.",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_189,"El proyecto ha ido genial, me han felicitado",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_3,todos los años pasa algo,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_131,"(Después de esto) Me costará recuperarme, pero saldré adelante",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_187,"Aunque aparezca en la discusión, mis padres se pelean a su voluntad, yo no tengo porque tener nada que ver",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_105,Si vas bien preparado no hay motivo para suspender,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
a_68,"Aunque me haya equivocado, esto no significa que sea un desastre. Todos nos equivocamos a veces.",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_192,"No me han llamado aún mis amigos, seguro que lo haran pronto",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_116,"hasta que no le muestre como soy, no puedo saber si le gusto",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_200,Hay pocas cosas que me hagan reír,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_117,si cuido de mi relación es más fácil superar las dificultades que aparezcan en pareja,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_58,mi familia tiene que ser más amable conmigo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_122,Las consecuencias serían insoportables… fracasaría y sería horrible.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_40,Estoy convencido de que mañana ganaremos el partido,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
a_161,"Aunque sienta miedo a subirme a un avión, es un medio de transporte seguro",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_72,soy completamente idiota,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_82,"Es importante que las cosas esten limpias, aunque no siempre estaran impolutas y esto también esta bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_153,Mi hijo dice que me quiere pero a veces se enfada conmigo. Quizás no me quiere tanto,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_32,"siempre está sonriendo, pero sé que me odia",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_79,El ruido que hacen las obras es insoportable,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_178,Siento que mis amigos se estan alejando de mí,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_124,Todo irá mal,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_45,"Si acabo los temas abiertos de trabajo antes de vacaciones, estaré más tranquilo ",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_185,No tengo pruebas suficientes para demostrar eso,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_123,"ja ja ja, qué gracioso, ¡eres terrible!",['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_119,si voy a la fiesta voy a ser el hazmerreir ,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_126,Ha habido más fallos de los que esperaba pero aun así podemos intentar resolverlo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_134,Para mí es insoportable estar tranquilo en sitios cerrados,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
a_13,"Me cuesta sacar fuerzas para conseguir lo que quiero, pero tengo claro que necesito hacerlo. ",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_188,"Hay muchas causas de porque alguien puede mirar mal en algun momento, no tiene porque ser que le caes mal",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_129,Es mejor que no lo intente porque seguro que me saldrá mal y será insoportable,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_118,"prefiero no hacerlo, seguro que me sale mal",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_44,debería planificar las vacaciones y buscar con quién dejar a los niños mientras yo no estoy,['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
t_47,Deberia avisar de que me voy,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_177,"Es posible que aunque me sienta enfadado, lo que haya hecho no esté mal, solo me ha sentado mal",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_6,nunca me salen bien las cosas,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_173,Si me siento un perdedor es porque el examen de hoy me ha ido mal,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
a_47,"Es importante para mi sacar este curso, me voy a centrar en ello",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_28,Si mi pareja me dice que me quiere lo más probable es que sea verdad,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_18,Siempre pasan cosas,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_147,Mis padres están gritando. Creo que se van a divorciar.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_80,Me siento inutil leyendo cosas que no entiendo,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_101,puede que las cosas vayan mal. También pueden ir bien.,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_104,"Al salir con amigos puedo sentirme mal, pero es una buena forma de intentar estar mejor",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_81,O me ayuda o no quiero saber nada de esa persona.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_175,"Me siento mal por haberle dicho la verdad a mi amiga, seguro que he hecho algo malo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_139,"Si no me quiere será terrible, un horror",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_82,"si no vienes, te lo vas a perder",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_157,"Mi pareja me quiere y apoya en todo. No obstante, la discusión que tuvimos ayer me hizo dudar de sus sentimientos",['distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],3
t_78,"Este sitio es muy oscuro, me gustaria más si pusieran un poco de luz",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_31,Estoy seguro que mis amigos creen que deberia estar más atenta a sus necesidades y que ultimamente paso de ellos,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_71,mi tio se pone insoportable cuando habla de política,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_44,a veces tengo que ir correindo para llegar a tiempo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_173,"Siento que todo es demasiado complicado, pero puede que pasado un tiempo lo vea todo más claro",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_132,"Me noto el corazón muy acelerado, debo de estar nervioso",['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
d_73,soy asqueroso,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_27,Estoy convencido de que todo saldrá bien ,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_197,No ha sido mi culpa que hayamos perdido,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_124,las consecuencias del incendio han sido terribles ,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_176,No me siento comprendida por mi pareja en esta situación,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_114,"el tiempo es cambiante, y aunque haga mal tiempo aún podemos disfrutar los días",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_154,No seré tan mal amigo si mis amigos me dicen que tengo buen fondo ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_33,"Si me dice que me quiere lo más seguro es que sea verdad, no tiene porque mentirme",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_16,casi nunca estoy bien,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
a_148,No puedo demostrar que se hayan separado por mi culpa,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_194,A la gente le gusta hablar bien de mi,['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
d_88,me encuentro muy cansada si no termino la investigación se acabó,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
a_24,No puedo saber si le gusto o no si no le pregunto,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_7,siempre me encuentro igual de mal,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_99,O me esfuerzo mucho en conseguir lo que quiero o me resutará bastante difícil ,['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
t_25,estoy segura que mañana lloverá,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_169,"Me empujo a sentirme alguien capaz, aunque no siempre debo serlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_89,"Para mi es importante aprovar las oposiciones, pero si no salen podria valorar otras alternativas ",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_21,No puedo saber lo que piensa si no le pregunto. Serà mejor que hablemos directamente,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_55,mi pareja tendría que ser más cariñoso conmigo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_94,Puedo controlar lo que como para así no subir más de peso,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_70,soy lo peor,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_16,nunca me he sentido solo cuando he necesitado ayuda,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_42,deberían de ser más amables conmigo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_58,"Tengo que ir al médico, me encuentro mal",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_16,A veces no estoy bien,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_20,Mi pareja a veces hace cosas que no me gustan,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_121,la clase de catalán duró 3 horas. Fue horrible.,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_179,Si me siento un perdedor es porque lo soy,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_118,sin hacerlo no puedo saber cuál será el resultado,['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
d_50,tengo que hacer muchas cosas pero nunca tengo tiempo,['distorsión'],['distorsión'],['distorsión'],[],3
d_173,"Siento que todo es demasiado complicado, por tanto, debe serlo",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_138,"Si me diagnostican un cáncer sería lo peor del mundo, se acabaría toda mi vida",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_108,"estoy seguro de lo que pienso, aunque podría cambiar si me demuestran lo contrario",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_64,quedarse sin cenar es lo peor,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
t_63,ese tío es asquerosamente rico,['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_186,Creo que pongo nervioso a todo el mundo.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_172,"Si siento que no vale la pena esforzarme, es porque realmente no vale la pena",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_8,Puedo equivocarme pero esto no siginfica que lo haga todo mal,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_188,"Mi compañero de trabajo me ha mirado mal esta mañana, seguro que es porque le caigo mal.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_147,Mis padres han separado el dinero en cuentas diferentes. Creo que es una buena idea,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_9,siento constantemente que a nadie le importo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_125,La reunión fue un desastre,['distorsión'],['no distorsión'],['distorsión'],['distorsión'],3
t_70,"mis compañeros son malos en fútbol, no le salen bien ningun pase",['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_22,"estoy convencido de que el examen te va a ir bien, ya que has estudiado para ello.",['no distorsión'],['no distorsión'],['distorsión'],['distorsión'],2
d_103,Me va a ir mal en este examen.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_33,"aunque me dice que me quiere, estoy convencida de que miente",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_176,"Me siento triste, es una emoción que estoy sintiendo en este momento, no indica que deba hacer cambios en mi vida",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_172,"Si me enfado es porque, en mi opinión, me ha hecho algo malo",['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
a_155,"La crítica que me hicieron me fastidió bastante, pero hice otras cosas aquel día y fueron bien",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_15,nunca podré hacer mi tarea,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_74,Esta decisión no es del todo inteligente,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_93,"Es importante que nos impliquemos en el trabajo y seamos resonsables, si cumplo con lo acordado todo estará bien",['no distorsión'],['distorsión'],['no distorsión'],['no distorsión'],3
d_180,"¿Como no va a ser injusto, si me siento así de mal?",['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_162,"¡Estás triste, así que la situación debe ser muy mala!",['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
t_183,"Se ha cancelado el vuelo, es culpa de la compañía aerea",['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
d_23,El ascensorista piensa que soy un don nadie.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_69,"soy un desastre, siempre me equivoco",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_96,Si me siento feliz cuando quiero ir a la montaña trataré de ir más a menudo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_45,tengo que mirar como llegar a casa desde aquí,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_174,"Siento que no soy capaz en este momento, pero quizás solo sea una sensación, voy a intentarlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_54,"Hoy no puedo venir a tomar algo, tengo que terminar un trabajo para mañana",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_195,"Mi madre se ha enfermado, es su culpa por no ir con más cuidado",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_64,soy completamente imbécil,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_116,Seguro que no le gusto,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_90,o me lo apunto en la agenda o me olvidaré,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_200,"Que tu marido se haya aburrido el fin de semana, no indica que haya debido de ser por tu culpa",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_123,"Esta bien intentar lo que nos importa, no podemos saber como irá",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_189,"Me han llamado del colegio porque mi hijo se ha portado mal, es mi culpa porque no le he educado bien,",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_68,mi amiga a veces se pone pesada,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_171,"Estudiar no me hace feliz, pero me puede dar muchas oportunidades, eso es bueno para mí",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_119,es posible que me vaya mal la primera vez que haga algo,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_189,"Si mi hijo se ha portado mal, no es por mi culpa, él actua con su propia voluntad",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_161,Siento pavor a subirme a un avión. Volar es muy peligroso.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_150,Dicen que soy muy simatico porque siempre hago reir a la gente,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_34,"aunque me ayuda, sé que no me quiere",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_46,Tengo que ser más responsable y planifica mejor las semanas,['distorsión'],['distorsión'],['no distorsión'],['no distorsión'],2
d_45,debería zanjar todos los temas de trabajo urgentemente,['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
a_46,Me iria bien hacer una planificación de las proximas semanas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_140,Las lluvias pueden afectar negativamente a la cosecha y hacer que sea un año duro,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_157,"La erupción del volcan destruyó muchas viviendas, ha sido un desastre para la población",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
a_120,"voy a intentar quedar con él, no puedo saber que querrá si no le pregunto",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_82,"O está impecable, o está sucio",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_2,no comparto nada de lo que dices,['no distorsión'],['distorsión'],['distorsión'],['no distorsión'],2
t_166,"Te sientas o no deprimido, la vida no tiene un sentido. Se lo damos.",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_19,Mi hermano a veces me ignora,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_195,"Este mes en el trabajo han bajado mucho las ventas, debería haber trabajado más y mejor.",['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_110,"Mañana es el primer día de trabajo, seguro que me equivoco",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_89,Estoy muy agobiado estos días. O apruebo las oposiciones o no sé qué haré,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_112,"Es mejor que me prepare bien para los examenes, para ir más seguro, y esperar al final de la evaluación para hacer valoraciones",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_87,o voy hoy a ver a mis padres o voy mañana,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_144,"Me ha fastidiado en ese momento, pero no quiere decir que me vaya a fastidiar el día entero",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_84,o comemos arroz o pasta,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_96,Es importante implicarnos en lo que hacemos aunque a veces no sale perfeto y también está bien ,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_196,La meteorología es una cosa incontrolable que a veces no podemos predecir,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_151,"Si dicen que la cena les gustó a todos, probablemente sí que la disfrutaron",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_35,Se piensa mejor cuando se duerme bien ,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
d_49,Tengo que estudiar mínimo 2 horas al día como sea ,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_77,no soy nada inteligente,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_5,Nadie me quiere.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_131,"Después de esto ya no hay solución, mi vida será un horror",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_38,Quiero mucho a mis amigos y a veces pienso que ellos a mi no tanto,['no distorsión'],['distorsión'],['no distorsión'],['distorsión'],2
d_184,Durante la presentación que he hecho creo que se han aburrido porque soy un pesado.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
a_170,"Esta persona me da mala espina, pero no  tengo motivos para pensar que quiere hacerme daño",['no distorsión'],['no distorsión'],['no distorsión'],['distorsión'],3
d_181,María se está riendo; seguro que es de mí.,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_115,Me quedaré en blanco en el examen,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_103,"si no pongo suficiente sal, la comida me saldrá insulsa",['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
t_179,Si te sientes feliz te fijarás más en  las cosas buenas que te pasan,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_157,"Si mi pareja me quiere, no tengo porque dudar de sus sentimientos por una discusión.",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_145,Quizás tu jefe te ha citado por otro motivo. ¿Podría ser?,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_2,Mi hermano algunas veces no cumple con su palabra,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_130,La reparación será bastante cara,['no distorsión'],['no distorsión'],['distorsión'],['no distorsión'],3
a_52,Estaria bien intentar controlar más la cantidad que como,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_127,"Lo que me está pasando es duro, no es agradable, pero lo puedo soportar",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_180,"Si me siento mal puede ser por muchos motivos, que alguien me haya tratado de manera injusta es uno de ellos, podría pensar en las distintas alternativas",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_43,debería limpiar más mi casa porque siempre está muy sucia,['distorsión'],['no distorsión'],['distorsión'],['no distorsión'],2
a_99,"Todos a veces ganamos y otras perdemos, pero lo importante es intentar las cosas que queremos hacer",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_109,"Si te has preparado bien para el examen no tiene porque ir mal, no podemos saber que passará antes de hacerlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
d_79,"Las personas son hipócritas, confías en ellas y te mienten",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_52,tengo que comer menos,['distorsión'],['distorsión'],['distorsión'],['no distorsión'],3
d_71,mi amiga es idiota,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
t_67,en el deporte soy un poco torpe,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_121,"Ha ido mal, pero podemos solucinarlo",['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_94,Si no  le permito a mi hijo que se enfade no aprenderá que es una emoción como cualquier otra,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
a_97,Las cosas que hacemos con empeño y dedicación estan bien aunque no las veamos perfectas,['no distorsión'],['no distorsión'],['no distorsión'],['no distorsión'],4
t_34,Piensa mal y acertarás ,['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
t_184,"Estaban criticando a alguien esta mañana en el trabajo, seguro que no soy yo",['no distorsión'],['distorsión'],['distorsión'],['distorsión'],3
d_20,mi pareja siempre hace lo mismo,['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
d_169,"Si te da miedo, es porque debe haber algo peligroso en ello.",['distorsión'],['distorsión'],['distorsión'],['distorsión'],4
